mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5379,0.1614,0.7227,0.4142,0.7009,2024-10-23 05:24
0.5391,0.1609,0.732,0.4236,0.6974,2024-10-23 05:41
0.5316,0.1445,0.7304,0.4151,0.7087,2024-10-25 03:35
0.538,0.1465,0.7263,0.4183,0.7016,2024-10-26 20:34
0.5403,0.1453,0.7107,0.4106,0.7116,2024-10-28 17:23
0.5476,0.1485,0.7215,0.4191,0.7023,2024-10-28 20:26
0.5376,0.1522,0.719,0.412,0.7016,2024-10-29 05:15
0.5445,0.1512,0.7062,0.4107,0.7013,2024-10-29 05:53
0.5385,0.1544,0.7098,0.4108,0.7015,2024-10-29 05:56
0.53,0.1505,0.7108,0.4108,0.7134,2024-10-30 19:27
0.5284,0.1459,0.7137,0.4071,0.7197,2024-11-05 08:24
0.5381,0.1479,0.7408,0.4227,0.7165,2024-11-06 20:02
0.5333,0.1598,0.7553,0.4308,0.7069,2024-11-10 00:07
0.5319,0.1626,0.7632,0.4341,0.7078,2024-11-10 01:42
0.5133,0.1632,0.7567,0.423,0.7048,2024-11-11 23:47
0.5264,0.1629,0.7482,0.4269,0.7018,2024-11-12 05:48
0.5221,0.1649,0.747,0.4221,0.7007,2024-11-12 05:48
0.5342,0.1703,0.7514,0.4374,0.6788,2024-11-13 08:50
0.524,0.1752,0.7559,0.4384,0.67,2024-11-13 13:02
0.5317,0.1699,0.7528,0.4249,0.6803,2024-11-15 15:50
0.5365,0.1718,0.7571,0.4349,0.6695,2024-11-17 01:39
0.546,0.1725,0.7534,0.4381,0.6681,2024-11-17 01:46
0.5417,0.1737,0.7519,0.4398,0.6758,2024-11-17 02:12
0.5366,0.1735,0.7669,0.4455,0.6899,2024-11-18 23:54
0.5467,0.1744,0.7584,0.4442,0.686,2024-11-20 22:06
0.5487,0.182,0.772,0.4529,0.6738,2024-11-21 05:20
0.5542,0.1864,0.7702,0.458,0.6628,2024-11-21 16:54
0.5534,0.1903,0.7825,0.4727,0.6535,2024-11-21 17:10
0.557,0.1913,0.7815,0.4706,0.6536,2024-11-23 06:23
0.5476,0.1905,0.7727,0.4663,0.6554,2024-11-23 09:06
0.5429,0.1872,0.7575,0.4605,0.6614,2024-11-23 11:42
0.5387,0.1845,0.7491,0.4473,0.6697,2024-11-23 16:35
0.5351,0.1849,0.7477,0.4448,0.6718,2024-11-25 00:41
0.5179,0.1841,0.7506,0.4381,0.676,2024-11-30 04:06
0.4968,0.1854,0.7695,0.4456,0.6652,2024-11-30 05:35
0.4996,0.1859,0.7797,0.4562,0.6689,2024-11-30 05:40
0.5045,0.1901,0.786,0.4636,0.6675,2024-12-01 01:00
0.492,0.1965,0.8103,0.4773,0.6588,2024-12-03 08:11
0.4963,0.192,0.8098,0.4739,0.6644,2024-12-03 08:20
0.5073,0.1914,0.8058,0.4728,0.6604,2024-12-03 09:18
0.504,0.1886,0.7983,0.4694,0.6592,2024-12-03 19:09
0.5186,0.1881,0.7851,0.4663,0.6627,2024-12-03 19:53
0.5123,0.1689,0.7655,0.4491,0.6904,2024-12-04 10:47
0.5089,0.1643,0.7466,0.4385,0.6976,2024-12-04 11:36
0.5147,0.1619,0.7316,0.4368,0.7025,2024-12-04 14:55
0.5199,0.1632,0.7243,0.4332,0.7014,2024-12-05 07:26
0.5278,0.1709,0.7309,0.442,0.6792,2024-12-07 20:40
0.5224,0.1733,0.7297,0.4349,0.6816,2024-12-08 07:31
0.5282,0.1612,0.704,0.4199,0.6919,2024-12-11 06:31
